ip_id,cc_avg_freq_month,cc_avg_amt_month
1,8.16666666666667,5001.89236111111
10,8.33333333333333,5469.19302549303
100,8.75,4548.61211219336
1000,8.0,4546.86151556776
10001,1.42857142857143,16481.1428571429
10002,1.8,12598.9
10003,7.5,14804.6416666667
10006,10.0,13856.656089009
10007,2.83333333333333,13312.8472222222
10008,2.83333333333333,11010.2944444444
1001,8.45454545454546,4079.07538295038
10011,1.5,13477.75
10013,8.0,14388.0
1002,8.91666666666667,4993.32397255522
10020,3.83333333333333,13607.0277777778
10021,1.4,9270.1
10022,1.85714285714286,14974.0285714286
10023,2.0,11399.8666666667
10028,1.0,14129.0
1003,7.83333333333333,6461.62635582011
10030,2.0,54066.6666666667
10036,1.0,20426.0
10037,4.85714285714286,10352.2074829932
1004,8.0,4602.51516955267
10049,2.0,11547.85
1005,7.75,5900.17285654161
10051,2.0,10443.0
10056,3.66666666666667,29977.1527777778
1006,6.91666666666667,5707.21783910534
10060,3.0,11819.1388888889
10069,7.28571428571429,17804.3468253968
1007,7.66666666666667,5336.52792531542
10076,3.33333333333333,9641.40277777778
10078,2.66666666666667,10504.3888888889
10079,1.0,23133.0
1008,7.66666666666667,5407.5157497595
10081,2.83333333333333,5725.41666666667
10085,4.0,14432.25
1009,6.0,5575.70502645503
10092,2.4,18554.6666666667
101,8.66666666666667,5070.45806508306
1010,8.58333333333333,6556.78526404151
10100,1.8,17936.9333333333
10101,2.33333333333333,27339.8472222222
10102,6.71428571428571,12499.8113945578
10106,4.42857142857143,9824.84875283447
1011,8.0,5356.7088023088
10110,1.0,90323.5
10111,1.5,72612.0
10113,3.0,11489.45
10117,8.57142857142857,21818.3075963719
1012,8.33333333333333,4829.64556878307
1013,9.08333333333333,5930.38929093567
10130,2.66666666666667,9571.5
10135,4.83333333333333,9189.79861111111
10136,2.57142857142857,14926.2976190476
10137,1.83333333333333,16195.5833333333
1014,6.33333333333333,5463.99788359788
10140,8.0,10428.5
10142,1.83333333333333,10189.0833333333
10145,5.0,30631.062962963
10149,3.0,8482.125
1015,8.0,5545.18992812743
1016,8.66666666666667,5921.30555671181
10162,4.6,12627.0928571429
10164,4.25,17208.0428571429
10166,4.28571428571429,10301.9112244898
10169,7.85714285714286,12777.4130559916
1017,8.25,5213.81012329174
10173,1.2,11504.8
10176,4.2,6075.16666666667
10178,3.0,6758.33333333333
10179,2.5,11174.4861111111
1018,8.25,5238.74797979798
10187,2.4,17996.55
1019,7.83333333333333,4804.79742664743
10193,22.0,47143.6579848723
10197,2.2,9895.2
102,8.58333333333333,5015.23768037518
1020,6.75,4408.54712301587
10201,2.0,18898.0
10203,3.16666666666667,8413.36111111111
10205,1.66666666666667,8132.0
1021,9.58333333333333,5241.1915356294
10213,2.5,13628.75
10214,2.0,46560.75
1022,8.0,5516.24837962963
10221,3.0,30128.3333333333
10224,3.0,11341.6666666667
10229,2.66666666666667,18969.3333333333
1023,9.08333333333333,5930.77662037037
10231,1.0,19517.0
10235,11.1666666666667,13357.77029379
10239,4.42857142857143,12593.1119047619
1024,7.08333333333333,5836.79919871795
10246,1.6,8825.0
10249,7.0,8231.5873015873
1025,7.58333333333333,5856.03988095238
10251,4.14285714285714,11349.1598639456
10252,1.0,5988.0
1026,7.25,4806.41097883598
10260,1.16666666666667,11717.0833333333
10261,2.83333333333333,19598.6481481482
10265,2.0,13672.8611111111
10267,4.0,19055.0
10268,1.0,32721.0
10269,2.33333333333333,117682.634920635
1027,7.83333333333333,5493.74331247456
10276,11.5,11754.1910103785
10278,1.0,9954.0
1028,7.25,4840.25453342953
10280,3.0,9070.33333333333
10284,4.0,7604.5
10288,2.0,22275.55
1029,7.25,5226.4248466811
10291,3.85714285714286,10258.2202380952
10294,4.0,10282.3266666667
103,7.91666666666667,5369.36697191697
1030,7.5,4916.60208333333
1031,7.5,4788.71941588504
1032,8.66666666666667,5324.63581141081
